COMUNE     LIVELLO    ESITO    TEMPO     NOTE
  038023  Voghiera               0 su     3,581  (41 colonne)
  038025  Goro                   0 su     3,436  (41 colonne)
  038027  Fiscaglia              0 su     8,461  (41 colonne)
  038028  Terre del Reno         0 su    10,142  (41 colonne)
  038029  Riva del Po            0 su     7,425  (41 colonne)
  038030  Tresignana             0 su     6,986  (41 colonne)
  039001  Alfonsine              0 su    11,557  (41 colonne)
  039002  Bagnacavallo           0 su    16,480  (41 colonne)
  039004  Brisighella            0 su     7,172  (41 colonne)
  039006  Castel Bolognese       0 su     9,550  (41 colonne)
  039007  Cervia                 0 su    28,964  (41 colonne)
  039008  Conselice              0 su     9,637  (41 colonne)
  039009  Cotignola              0 su     7,367  (41 colonne)
  039010  Faenza                 0 su    58,843  (41 colonne)
  039011  Fusignano              0 su     8,159  (41 colonne)
  039012  Lugo                   0 su    32,225  (41 colonne)
  039013  Massa Lombarda         0 su    10,746  (41 colonne)
  039014  Ravenna                0 su   156,304  (44 colonne)
  039015  Riolo Terme            0 su     5,785  (41 colonne)
  039016  Russi                  0 su    12,285  (41 colonne)
  039018  Solarolo               0 su     4,406  (41 colonne)
  040001  Bagno di Romagna       0 su     5,579  (41 colonne)
  040003  Bertinoro              0 su    11,089  (41 colonne)
  040005  Castrocaro Terme e     0 su     6,449  (41 colonne)
  040007  Cesena                 0 su    96,066  (44 colonne)
  040008  Cesenatico             0 su    26,008  (41 colonne)
  040009  Civitella di Romag     0 su     3,643  (41 colonne)
  040012  Forlì                  0 su   117,050  (44 colonne)
  040013  Forlimpopoli           0 su    13,075  (41 colonne)
  040015  Gambettola             0 su    10,816  (41 colonne)
  040016  Gatteo                 0 su     9,416  (41 colonne)
  040018  Longiano               0 su     7,270  (41 colonne)
  040019  Meldola                0 su     9,967  (41 colonne)
  040020  Mercato Saraceno       0 su     6,837  (41 colonne)
  040022  Modigliana             0 su     4,297  (41 colonne)
  040032  Predappio              0 su     6,284  (41 colonne)
  040037  Roncofreddo            0 su     3,453  (41 colonne)
  040041  San Mauro Pascoli      0 su    12,295  (41 colonne)
  040043  Santa Sofia            0 su     4,003  (41 colonne)
  040044  Sarsina                0 su     3,337  (41 colonne)
  040045  Savignano sul Rubi     0 su    17,997  (41 colonne)
  040046  Sogliano al Rubico     0 su     3,159  (41 colonne)
  099001  Bellaria-Igea Mari     0 su    19,453  (41 colonne)
  099002  Cattolica              0 su    16,579  (41 colonne)
  099003  Coriano                0 su    10,455  (41 colonne)
  099005  Misano Adriatico       0 su    14,162  (41 colonne)
  099011  Morciano di Romagn     0 su     7,183  (41 colonne)
  099013  Riccione               0 su    34,465  (41 colonne)
  099014  Rimini                 0 su   150,046  (44 colonne)
  099015  Saludecio              0 su     3,153  (41 colonne)
  099016  San Clemente           0 su     5,795  (41 colonne)
  099017  San Giovanni in Ma     0 su     9,410  (41 colonne)
  099018  Santarcangelo di R     0 su    22,228  (41 colonne)
  099020  Verucchio              0 su    10,058  (41 colonne)
  099022  Maiolo                 0 su       799  (41 colonne)
  099023  Novafeltria            0 su     6,990  (41 colonne)
  099028  Poggio Torriana        0 su     5,144  (41 colonne)
  099029  Montescudo-Monte C     0 su     6,880  (41 colonne)
  TOTALE                        10 su 5,937,496
