cognome,frequenza
ABATE,41
FELICI,40
ERCOLI,40
CIABILLI,40
FOSCHI,40
CROCI,40
ELIA,40
FORNI,40
GHEORGHE,40
MADDII,40
JAHOVIC,40
GHETTI,40
MALESCI,40
LAMI,40
MANTELLI,40
KAMBERI,40
RAIMONDI,40
PERONI,40
MICHELETTI,40
NIGRO,40
PANI,40
MERLI,40
NINCI,40
ULIVIERI,40
SILEI,40
TROTTA,40
SPERANZA,40
TINACCI,40
SBRACI,40
TASSELLI,40
RIGHESCHI,40
ANDORLINI,40
CASALE,40
BELLACCI,40
CARMAGNINI,40
CAROLI,40
DOMINICI,39
FRANCOLINI,39
COLUCCI,39
GAETA,39
GIAMBERINI,39
GIGLIOLI,39
GALLORINI,39
GENNARI,39
KHAN,39
GHERARDI,39
MAESTRELLI,39
GRASSINI,39
GORINI,39
MACCONI,39
GRIECO,39
PIZZI,39
NICOLOSI,39
PIERGUIDI,39
MOGGI,39
PESCINI,39
MELIS,39
PASTORINI,39
MATEI,39
PAGLIAZZI,39
TERENZI,39
RINGRESSI,39
VEZZANI,39
TOZZETTI,39
SALA,39
RINDI,39
TANCREDI,39
BICCHI,39
CAVALIERE,39
BENEVIERI,39
ABBATE,39
AGNELLI,39
BELTRAMI,39
CAPORALI,39
FIORELLI,38
CIOFI,38
CERRETELLI,38
DI LORENZO,38
FRANGINI,38
DEL BUONO,38
FERRUZZI,38
DEL PERUGIA,38
GALASSO,38
CERI,38
EVANGELISTA,38
LEVI,38
GRIGORE,38
LO PRESTI,38
GUCCI,38
MANNESCHI,38
IACOPOZZI,38
GHINASSI,38
MANZANI,38
PROFETI,38
MOSCARDI,38
MURA,38
PALLINI,38
PASSERINI,38
NEBBIAI,38
MARRANI,38
MARZOLI,38
STAGI,38
SABATELLI,38
TURCI,38
SOZZI,38
VERNIANI,38
SALVATORE,38
XIA,38
ZACCHI,38
BORELLI,38
CAMICI,38
CARTEI,38
BARONTINI,38
BORGHERESI,38
BEJZAK,38
BRACCESI,38
CASTAGNA,38
BARTALI,38
BALZANI,38
DI CARLO,37
DAI,37
FRANDI,37
CIACCI,37
DEL SERE,37
FANTACCI,37
DELFINO,37
LOSI,37
MAIOLI,37
LAMPREDI,37
LEMMI,37
LOLLI,37
GRANDE,37
LULLI,37
LADISA,37
GOLINI,37
LAPUCCI,37
PASQUETTI,37
PALLI,37
ORSI,37
MAURRI,37
PUCCETTI,37
PAOLUCCI,37
MOLINARI,37
RAGGI,37
MASCALCHI,37
NANNETTI,37
